,user_name,top_track_name,top_track_artist,song_rank
303,rkhelaa_,Hey Big Eyes,Caroline Polachek,4
304,rkhelaa_,Door,Caroline Polachek,5
305,rkhelaa_,Hit Me Where It Hurts,Caroline Polachek,6
306,rkhelaa_,Femmebot (feat. Dorian Electra and Mykki Blanco),Charli XCX,7
307,rkhelaa_,Caroline Shut Up,Caroline Polachek,8
308,rkhelaa_,So Hot You're Hurting My Feelings,Caroline Polachek,9
309,rkhelaa_,Tears (feat. Caroline Polachek),Charli XCX,10
310,rkhelaa_,Supercut,Lorde,11
311,rkhelaa_,Mariners Apartment Complex,Lana Del Rey,12
312,rkhelaa_,Perfect Places,Lorde,13
313,rkhelaa_,Wade,Clairo,14
314,rkhelaa_,North,Clairo,15
315,rkhelaa_,Closer To You,Clairo,16
316,rkhelaa_,//aguardiente y limón %ᵕ‿‿ᵕ%,Kali Uchis,17
317,rkhelaa_,quiero sentirme bien,Kali Uchis,18
318,rkhelaa_,Sober,Lorde,19
319,rkhelaa_,Cross You Out (feat. Sky Ferreira),Charli XCX,20
320,rkhelaa_,Warm (feat. HAIM),Charli XCX,21
321,rkhelaa_,Hard Feelings/Loveless,Lorde,22
322,rkhelaa_,Tiro,Arca,23
323,rkhelaa_,Norman fucking Rockwell,Lana Del Rey,24
324,rkhelaa_,Your Teeth in My Neck,Kali Uchis,25
325,rkhelaa_,Floating (feat. Hope Tala),Raveena,26
326,rkhelaa_,Bambi,Clairo,27
327,rkhelaa_,Flight 22,Kali Uchis,28
328,rkhelaa_,Bags,Clairo,29
329,rkhelaa_,CHIRI,ROSALÍA,30
330,rkhelaa_,Sinking,Clairo,31
331,rkhelaa_,de nadie,Kali Uchis,32
332,rkhelaa_,Writer in the Dark,Lorde,33
333,rkhelaa_,Zinnias,Clairo,34
334,rkhelaa_,la luz(Fín),Kali Uchis,35
335,rkhelaa_,I Give Up,Caroline Polachek,36
336,rkhelaa_,Look at Me Now,Caroline Polachek,37
337,rkhelaa_,2099 (feat. Troye Sivan),Charli XCX,38
338,rkhelaa_,Ocean of Tears,Caroline Polachek,39
339,rkhelaa_,Impossible,Clairo,40
340,rkhelaa_,Closure,Kelela,41
341,rkhelaa_,Insomnia,Caroline Polachek,42
